,cnpj,collected
Juli Participacoes S.A. ,06.087.937/0001-22,
Adro Administracao S.A,83.747.840/0001-40,
SH Participacoes Imobiliarias S.A.,17.949.683/0001-20,
Metminas Participacoes e Empreendimentos S.A.,01.513.698/0001-01,
Sierra Ventures S.A.,06.277.328/0001-36,
Via Grande Participacoes S.A.,18.951.651/0001-22,
Kinzan Servicos e Participacoes S.A.,09.451.267/0001-70,
Logum Logistica S.A.,09.584.935/0001-37,
Cinesystem S.A.,07.437.016/0001-05,
Verde Mar Participacoes S.A.,10.345.586/0001-80,
Nossa Senhora do O Participacoes S.A.,12.970.783/0001-15,
Hospital Maria Auxiliadora S.A.,38.000.485/0001-96,
Sapura Navegacao Maritima S.A.,14.072.869/0001-56,
MetroBarra S.A.,17.339.410/0001-64,
UVR Grajau S.A.,17.317.365/0001-47,
Prin S.A.,53.976.007/0001-00,
Racional Engenharia Ltda.,43.202.951/0001-56,
SC Investimentos Agricolas S.A.,14.716.783/0001-19,
Inbetta S.A.,13.039.737/0001-60,
LS Son's Administracao e Participacao S.A.,09.256.089/0001-26,
MIGV Administracao e Participacoes S.A.,09.206.339/0001-13,
Tutto Quatro Administracao e Participacoes S.A.,09.206.332/0001-00,
Vitoria Participacoes S.A.,13.270.520/0001-66,
Terceira Estrela Investimentos S.A.,12.039.511/0001-04,
Ageo Terminais e Armazens Gerais S.A.,03.798.096/0001-73,
Nova Transportadora do Sudeste S.A.,04.992.714/0001-84,
Tellus III Holding S.A. Company,14.119.418/0001-27,
Engevix Construcoes S.A.,18.294.051/0001-39,
Ramninv Participacoes S.A.,11.899.510/0001-69,
ACVH Empreendimentos e Participacoes S.A.,67.751.057/0001-01,
Geracao Participacoes S.A.,08.661.030/0001-50,
StoneCo Brasil Participacoes S.A.,16.575.851/0001-00,
Prosegur Servicos e Participacoes Societarias S.A.,87.391.579/0001-49,
Instituto Hermes Pardini S.A.,19.378.769/0001-76,
Gemag Fonseca Participacoes S.A.,18.837.532/0001-43,
DH Realizacoes Imobiliarios S.A.,04.137.228/0001-89,
SPE Monaco Participacoes S.A.,08.670.557/0001-41,
Menestrina Participacoes S.A.,08.592.872/0001-06,
Y. Takaoka Empreendimentos S.A.,00.479.083/0001-43,
Esferatur Passagens e Turismo S.A.,76.530.260/0001-30,
Terral Administracao e Participacoes S.A.,15.379.991/0001-32,
Distribuidora de Agua Camacari S.A.,01.944.031/0001-63,
Companhia Brasileira de Tecnologia Para E-Commerce S.A.,05.314.972/0001-74,
Ebhig Participacoes e Empreendimentos S.A.,02.532.454/0001-39,
American Airlines Inc.,36.212.637/0001-99,
Kuan Yin Participacoes S.A.,16.517.106/0001-05,
MV Participacoes S.A.,04.540.616/0001-06,
Cosme Velho Participacoes S.A.,18.311.361/0001-14,
Seaway Offshore Participacoes S.A.,59.453.241/0001-39,
Agroup Participacoes S.A.,17.084.758/0001-58,
Arco Participacoes S.A.,09.024.553/0001-59,
GDR2012 Participacoes S.A.,05.445.385/0001-14,
FEW Participacoes S.A.,19.387.563/0001-02,
Sequoia Log S.A.,11.916.190/0001-08,
PB Participacoes S.A.,19.760.417/0001-80,
Lavebras Gestao de Texteis S.A.,06.272.575/0001-40,
Tolvi Participacoes Ltda ,50.814.821/0001-30,
Nex Group Participacoes S.A.,13.062.866/0001-79,
Aggreko Energia Locacao de Geradores Ltda.,02.283.886/0001-53,
Penna Siqueira Administracao e Participacoes S.A.,13.601.783/0001-00,
AP Ponto Participacoes S.A.,17.016.359/0001-50,
OceanPact Servicos Maritimos S.A.,09.114.805/0001-30,
Porto Sudeste V.M. S.A.,18.494.485/0001-82,
Doado S.A. Participacoes e Controladas ,44.812.089/0001-66,
Unimed Nova Iguacu Participacoes S.A.,15.228.057/0001-10,
Melnick Even Desenvolvimento Imobiliario S.A.,12.181.987/0001-77,
RuasInvest Participacoes S.A.,06.101.196/0001-97,
Copar Participacoes S.A.,06.072.106/0001-87,
Capa Engenharia S.A.,90.025.073/0001-20,
Empresa Tejofran de Saneamento e Servicos Eireli,61.288.437/0001-67,
Ribater S.A.,67.279.141/0001-66,
WhiteHouse Holding S.A.,17.551.737/0001-03,
Junto Holding Latam S.A.,20.791.522/0001-66,
Aefeme Participacoes S.A.,19.215.266/0001-80,
Zanziagro Participacoes S.A.,19.165.805/0001-13,
JRHM Participacoes S.A.,19.165.727/0001-57,
Cento e Tres Participacoes S.A.,19.696.474/0001-48,
Concessionaria de Rodovia Sul-Matogrossense S.A.,19.642.306/0001-70,
Nicolau Forjaz Empreendimentos Imobiliarios e Participacoes S.A.,53.429.742/0001-01,
Associacao de Combate ao Cancer em Goias,01.585.595/0001-57,
Santa Casa de Misericordia de Belo Horizonte,17.209.891/0001-93,
Fundacao Santa Casa de Misericordia de Franca,47.969.134/0001-89,
Associacao Beneficente de Campo Grande - Santa Casa,03.276.524/0001-06,
Sociedade de Participacoes em Concessoes Publicas S.A.,10.665.162/0001-00,
JLV Holding Empreendimentos e Participacoes S.A.,20.648.657/0001-77,
Lepanto Administracao e Participacoes S.A.,78.773.454/0001-92,
L.T.F. Participacoes S.A.,05.418.890/0001-70,
Olga S. Quadros Participacoes Societarias S.A.,00.630.967/0001-57,
OM Linha 6 Participacoes S.A.,19.215.405/0001-75,
BCBF Participacoes S.A.,19.276.528/0001-16,
Odebrecht Ambiental Participacoes S.A.,19.014.214/0001-45,
Agencia Estado S.A.,62.652.961/0001-38,
Pioneira Bahia Participacoes S.A.,15.418.677/0001-11,
Viacao Piracicabana S.A.,54.360.623/0001-02,
Sao Francisco Sistemas de Saude S/E Ltda.,01.613.433/0001-85,
Mac Empreendimentos Imobiliarios Ltda.,07.758.457/0001-09,
Trail Infraestrutura Eireli,05.497.348/0001-50,
Reyc Comercio e Participacoes Ltda.,95.853.263/0001-50,
Terracom Construcoes Ltda.,47.497.367/0001-26,
Racional Participacoes S.A.,13.637.599/0001-10,
Constroeste Construtora e Participacoes Ltda.,06.291.846/0001-04,
Accenture do Brasil Ltda.,96.534.094/0001-58,
Latina Manutencao de Rodovias Ltda.,07.207.197/0001-83,
Autostrade Concessoes e Participacoes Brasil Ltda.,02.530.164/0001-56,
UJI Comercio e Participacoes Ltda.,51.497.485/0001-01,
Concessionaria BR-040 S.A.,19.726.048/0001-00,
Concebra - Concessionaria das Rodovias Centrais do Brasil S.A.,18.572.225/0001-88,
Concessionaria Aeroporto Rio de Janeiro S.A.,19.726.111/0001-08,
RR Donnelley Editora e Grafica Ltda.,62.004.395/0001-58,
Rio de Janeiro Aeroporto S.A.,19.574.759/0001-06,
AT&T Global Network Services Brasil Ltda.,03.341.093/0001-06,
Concessionaria Rota do Oeste S.A.,19.521.322/0001-04,
BrasilCenter Comunicacoes Ltda.,02.917.443/0001-77,
Unimed de Santos - Cooperativa de Trabalho Medico,58.229.691/0001-80,
Construtora Passarelli Ltda.,60.625.829/0001-01,
Campos Eliseos. Participacao. Empreendimentos e Administracao Ltda.,03.591.892/0001-30,
Engeform Engenharia Ltda.,48.246.920/0001-10,
Hospital Alvorada Taguatinga Ltda.,08.100.676/0001-69,
Level 3 Comunicacoes do Brasil Ltda.,72.843.212/0001-41,
Editora Moderna Ltda.,62.136.304/0001-38,
MDM Empreendimentos e Participacoes S.A.,07.243.514/0001-17,
Finsbury Participacoes S.A.,21.987.030/0001-03,
Hapvida Participacoes e Investimentos S.A.,05.197.443/0001-38,
Foxfield Participacoes S.A.,21.987.041/0001-93,
Fourstones Participacoes S.A.,21.987.053/0001-18,
Frieston Participacoes S.A.,21.987.068/0001-86,
Cannes RJ Participacoes S.A.,12.523.984/0001-74,
Sonda Procwork Informatica Ltda.,08.733.698/0001-66,
Encalso Participacoes em Concessoes S.A.,21.262.638/0001-70,
Camorim Servicos Maritimos Ltda.,00.649.990/0001-93,
Flex Gestao de Relacionamentos S.A.,10.851.805/0001-00,
THC - Triunfo Holding de Construcoes Ltda.,08.401.409/0001-21,
Telxius Cable Brasil Participacoes Ltda.,04.869.841/0001-90,
Reed Exhibitions Alcantara Machado Ltda.,02.162.646/0001-09,
Telxius Cable Brasil Ltda.,03.199.519/0001-39,
Notre Dame Intermedica Participacoes S.A.,19.853.511/0001-84,
FBS Construcao Civil e Pavimentacao S.A.,66.806.555/0001-33,
Morpho do Brasil S.A.,02.997.156/0001-14,
GRI - Gerenciamento de Residuos Industriais S.A.,03.869.232/0001-79,
CPM Braxis Tecnologia Ltda.,08.849.819/0001-30,
HP Financial Services Brasil Ltda.,04.548.036/0001-65,
Telmex do Brasil S.A.,02.667.694/0001-40,
Falconi Participacoes S.A.,19.494.126/0001-98,
Walbridge do Brasil Construcoes e Empreendimentos Ltda.,10.884.926/0001-40,
General Motors Investment Participacoes Ltda.,18.956.886/0001-07,
Proair Servicos Auxiliares de Transporte Aereo Ltda.,69.270.833/0001-79,
Elfa Participacoes e Administracao S.A.,19.794.232/0001-97,
CBPO Engenharia Ltda.,61.156.410/0001-10,
Hora Park Sistema de Estacionamento Rotativo Ltda.,01.808.151/0001-33,
BRK Ambiental - Projetos Ambientais S.A.,21.384.741/0001-93,
Consorcio Fenix ,19.962.391/0001-53,
CEM Administracao e Participacoes S.A.,01.828.436/0001-36,
Tecnogera Locacao e Transformacao de Energia S.A.,08.100.057/0001-74,
Ameplan - Assistencia Medica Planejada Ltda.,67.839.969/0001-21,
Zenvia Mobile Servicos Digitais S.A.,14.096.190/0001-05,
LCM Construcao e Comercio S.A.,19.758.842/0001-35,
Prodata Mobility Brasil S.A.,05.535.694/0001-85,
Transuniao Transportes S.A.,19.224.852/0001-90,
AT&T Global Network Holdings Brasil Ltda.,04.554.956/0001-96,
Enotel - Hotels & Resorts S.A.,03.787.288/0001-84,
GS Inima Brasil Ltda.,08.905.300/0001-21,
Partage Empreendimentos e Participacoes S.A.,01.987.230/0001-59,
Silcar Empreendimentos. Comercio e Participacoes Ltda.,01.006.864/0001-83,
Higi Serv Holding S.A.,09.606.206/0001-34,
Concessionaria do Aeroporto Internacional de Confins S.A.,19.674.909/0001-53,
Gran Viver Urbanismo S.A.,01.464.823/0001-30,
Three-P Participacoes S.A.,07.340.066/0001-70,
Nelbp Participacoes S.A.,07.340.117/0001-63,
Luponte Neo Participacoes S.A.,07.365.830/0001-61,
Demasa Empreendimentos e Participacoes S.A.,20.778.417/0001-97,
Balteau Group Participacoes S.A.,15.362.042/0001-40,
ZTI Administracao e Participacoes S.A.,07.119.438/0001-32,
L2L Participacoes S.A.,14.926.839/0001-60,
Brazil Berries Investimentos e Participacoes S.A.,20.023.349/0001-56,
Minusa S.A. Participacoes e Assessoria Empresarial,85.167.419/0001-95,
CRMPAR Holding S.A.,19.943.736/0001-21,
BSPAR Incorporacoes Ltda.,09.365.538/0001-74,
Pesssego Transportes Ltda.,20.589.286/0001-08,
Hometeka do Brasil S.A.,18.143.426/0001-60,
Odebrecht Rodovias S.A.,21.626.030/0001-88,
Odebrecht Mobilidade S.A.,19.215.328/0001-53,
Quaatro Participacoes S.A.,19.459.670/0001-07,
Bonsucex Holding S.A.,52.839.420/0001-60,
RS Morizono Empreendimentos e Participacoes Ltda.,02.964.887/0001-63,
Sao Martinho Inova S.A.,13.288.282/0001-16,
Sao Martinho Logistica e Participacoes S.A.,20.220.473/0001-01,
Fugi San Participacoes e Empreendimentos S.A.,21.694.017/0001-66,
ALCM Participacoes S.A.,11.579.088/0001-64,
PCPILON Participacoes S.A.,11.575.178/0001-87,
Extraseg Participacoes S.A.,18.475.583/0001-72,
Movida Participacoes S.A.,21.314.559/0001-66,
Ciatc Participacoes S.A.,10.697.897/0001-08,
Cesan 2006 Holding S.A.,07.826.728/0001-16,
Tavares Investimentos e Participacoes S.A.,16.790.210/0001-60,
Mobit Mobilidade e Participacoes S.A.,09.376.452/0001-47,
Investel Representacoes e Participacoes S.A.,89.014.211/0001-97,
VM Investimentos e Participacoes S.A.,14.016.130/0001-27,
Inova Saude Sao Paulo SPE S.A.,20.815.862/0001-80,
Ferrari Participacoes Societarias S.A.,21.948.647/0001-10,
JBC Participacoes S.A.,19.047.297/0001-79,
Tres Leoes Participacoes S.A.,20.121.332/0001-31,
LRDTA Participacoes S.A.,18.642.805/0001-02,
MHNTA Participacoes S.A.,18.642.818/0001-73,
Eurotrust Participacoes S.A.,10.654.918/0001-08,
Nonna Investimentos S.A.,20.588.826/0001-20,
Greq Participacao e Administracao Ltda.,61.400.164/0001-09,
Custodio Forzza Participacoes S.A.,17.991.330/0001-99,
C.M.G Investimentos S.A.,20.585.456/0001-78,
Troika S.A.,07.756.114/0001-05,
Primeira Estacionamentos Ltda.,52.024.452/0001-07,
RTGM Partcicipacoes e Empreendimentos S.A.,07.895.944/0001-13,
S+ Participacoes S.A.,20.390.619/0001-67,
Brennand Projetos S.A.,15.674.581/0001-14,
Motoyama Participacoes S.A.,10.423.537/0001-18,
Nobucopar Participacoes S.A.,10.423.547/0001-53,
Toshiba do Brasil Ltda.,61.407.052/0001-71,
Omega Geracao 1 S.A.,15.191.543/0001-00,
Marel Participacoes S.A.,19.501.698/0001-57,
Crefipar Participacoes e Empreendimentos S.A.,44.953.545/0001-98,
T-Systems do Brasil Ltda.,04.426.565/0001-96,
Rashi Participacoes S.A.,09.549.267/0001-07,
Livelo S.A.,12.888.241/0001-06,
Gutierrez. Paula. Munhoz S.A. Construcao Civil,76.495.886/0001-53,
L & M Holding S.A.,07.314.488/0001-70,
Ceva Freight Management do Brasil Ltda.,03.229.138/0001-55,
TDSP Participacoes Ltda.,08.353.509/0001-20,
Centro Brasileiro de Pesquisa em Avaliacao e Selecao e de Promocao de Eventos,18.284.407/0001-53,
Rede Brasileira de Diagnosticos SPE S.A.,21.164.511/0001-19,
Santa Cruz Participacoes e Investimentos S.A.,18.237.387/0001-60,
Bondybach Administracao e Participacoes S.A.,08.109.927/0001-76,
Entrefam Participacoes S.A.,19.204.738/0001-07,
Gazeus Negocios de Internet S.A.,11.472.895/0001-83,
Nors Brasil Participacoes Ltda.,12.568.809/0001-01,
Geres Participacoes S.A.,21.510.525/0001-47,
Ethos Engenharia de Infraestrutura S.A.,19.758.779/0001-37,
Pimenta Verde Alimentos Ltda. ,09.060.964/0001-08,
Ultracargo Operacoes Logisticas e Participacoes Ltda.,34.266.973/0001-99,
Norte Buss Transporte S.A.,21.692.479/0001-44,
Zansugar Participacoes S.A.,21.771.999/0001-42,
AFMSF Participacoes S.A.,21.842.115/0001-01,
LHT Participacoes S.A.,21.842.173/0001-27,
Cento e Um Participacoes S.A.,21.842.138/0001-08,
AWP Service Brasil Ltda.,52.910.023/0001-37,
Monte Cristalina Participacoes S.A.,00.631.348/0001-87,
Aguas do Brasil Participacoes S.A.,13.876.551/0001-65,
UBS Brasil Holding Financeira S.A.,13.141.497/0001-00,
RR Casa de Investimentos e Participacoes S.A.,22.131.736/0001-31,
Top Center Empreendimentos e Participacoes Ltda.,06.953.352/0001-48,
Auto Viacao Urubupunga Ltda.,61.487.799/0001-87,
BTGI Quartzo Participacoes S.A.,21.948.105/0001-47,
BTGI Safira Participacoes S.A.,21.976.510/0001-79,
Sociedade de Participacoes no Aeroporto de Confins S.A.,19.604.353/0001-29,
Fazenda Mocoin Participacoes S.A.,16.464.770/0001-25,
Fazenda Santa Cecilia Participacoes S.A.,16.385.018/0001-99,
Prosalv - Administracao. Empreendimentos e Participacoes S.A.,96.291.463/0001-29,
Concessionaria Ponte Rio-Niteroi S.A. - Ecoponte,22.163.297/0001-49,
Kelsen Empreendimentos e Participacoes S.A.,13.276.994/0001-15,
Igaracu S.A. Administracao e Participacoes,00.491.010/0001-77,
Pargom Investimentos e Participacoes S.A.,15.294.585/0001-77,
Odebrecht Engenharia e Construcao S.A. ,19.821.234/0001-28,
Sugoi Incorporadora e Construtora S.A.,13.584.310/0001-42,
CHC do Brasil Taxi Aereo S.A.,67.750.463/0001-41,
Ages Participacoes Ltda.,03.042.292/0001-13,
Empresa Folha da Manha S.A.,60.579.703/0001-48,
T. Global Participacoes Societarias S.A.,11.872.641/0001-52,
Softway Softwares Para Comercio Exterior Ltda.,01.940.175/0001-41,
Unimed Recife Cooperativa de Trabalho Medico,11.214.624/0001-28,
Unimed do Estado do Parana - Federacao Estadual das Cooperativas Medicas,78.339.439/0001-30,
Tropical Transportes Ipiranga Ltda.,42.310.177/0001-34,
Suplicy Cafes Especiais S.A.,05.317.992/0001-07,
Unidas Locadora de Veiculos Ltda.,01.079.210/0001-80,
Multiplan Holding S.A.,13.249.555/0001-13,
Campagnola Participacoes e Empreendimentos S.A.,23.495.127/0001-24,
Equi Participacoes e Empreendimentos S.A.,23.495.167/0001-76,
UBL Participacoes e Empreendimentos S.A.,23.495.201/0001-02,
America Shopping S.A.,14.700.015/0001-77,
JJPM Empreendimentos e Participacoes S.A.,05.486.969/0001-38,
Construteckma Engenharia S.A.,00.005.275/0001-18,
FC Vila Madalena Participacoes S.A.,11.516.224/0001-77,
Smartfit Escola de Ginastica e Danca S.A.,07.594.978/0001-78,
Smartfit Escola de Ginastica e Danca S.A.,07.594.978/0001-78,
Auto Viacao Marechal Ltda.,76.557.867/0001-04,
DOF Subsea Brasil Servicos Ltda.,07.925.451/0001-89,
Haitong do Brasil Participacoes Ltda.,06.180.544/0001-69,
Agfa Gevaert do Brasil Ltda.,00.980.360/0001-05,
Incorporadora e Construtora PIBB S.A.,05.299.010/0001-93,
Primav Infraestrutura S.A.,21.314.575/0001-59,
Buena Vista S.A.,21.690.768/0001-04,
Zayo Administradora de Bens S.A.,22.705.770/0001-72,
Zapair Administracao de Aeronaves S.A.,21.474.800/0001-14,
Ferrato Administracao e Participacoes S.A.,14.723.278/0001-00,
LPP II Empreendimentos e Participacoes S.A.,15.487.486/0001-01,
LPP III Empreendimentos e Participacoes S.A.,15.274.359/0001-24,
AWM Participacoes Societarias S.A.,25.016.528/0001-80,
Treviso Empreendimentos e Participacoes S.A.,20.512.706/0001-40,
MKTG Marketing e Promocao de Eventos Ltda.,22.371.177/0001-37,
Log & Print Dados Variaveis S.A.,03.113.360/0001-98,
Administradora Geral de Estacionamentos S.A.,86.862.208/0001-35,
Jam Engenharia S.A.,38.734.794/0001-90,
Motorola Solutions Ltda.,10.652.730/0001-20,
Tractebel Engineering Ltda.,33.633.561/0001-87,
Somos Sistema de Ensino S.A.,49.323.314/0001-14,
Granel Quimica Ltda.,44.983.435/0001-79,
LM Transportes Interestaduais Servicos e Comercio S.A.,00.389.481/0001-79,
Van Oord Servicos de Operacoes Maritimas Ltda.,30.276.927/0001-10,
A100ROW Servicos de Dados Brasil Ltda.,12.147.176/0001-50,
Mova Mais Servicos Digitais S.A.,22.182.079/0001-51,
Scopus Solucoes em TI Ltda.,14.380.750/0001-40,
Adobe Assessoria de Servicos Cadastrais S.A.,04.449.030/0001-30,
Radio e Televisao Bandeirantes S.A.,60.509.239/0001-13,
Empresa Pernambuco de Comunicacao S.A.,17.659.736/0001-79,
Concessionaria Rodovia dos Tamoios S.A.,21.581.284/0001-27,
Jadlog Logistica Ltda.,04.884.082/0001-35,
Santa Rita Saude S.A.,95.642.179/0001-97,
Grupo GMC Participacoes S.A.,21.643.231/0001-93,
Movida Gestao e Terceirizacao de Frotas S.A.,14.117.559/0001-00,
Kartra Participacoes Ltda.,13.638.719/0001-02,
Gebbras Participacoes Ltda.,22.258.988/0001-26,
Otima Participacoes S.A.,22.969.475/0001-23,
Brass Participacoes S.A.,22.946.299/0001-04,
J.A. Faria Administracao e Participacoes S.A.,20.504.523/0001-82,
Fariapar S.A.,20.504.508/0001-34,
CAEPA - Companhia de Agua e Esgoto de Paraibuna S.A.,22.467.235/0001-20,
Armorial Investimentos e Participacoes S.A.,12.534.399/0001-70,
Movida Locacao de Veiculos S.A.,07.976.147/0001-60,
Compar Bahia Participacoes S.A.,23.568.443/0001-89,
HSBC Brasil Holding S.A.,22.626.820/0001-26,
Volpato Participacoes S.A.,06.195.097/0001-11,
Delta Participacoes S.A.,19.631.198/0001-30,
EPC Construcoes S.A.,04.858.174/0001-40,
Modern Transporte Aereo de Carga S.A.,03.887.831/0001-15,
Maverick Holding S.A.,16.855.255/0001-76,
Vamcruz Participacoes S.A.,21.514.557/0001-10,
DFS Holding S.A.,22.932.699/0001-60,
J.Jireh Participacoes Ltda.,04.365.346/0001-44,
Read Servicos Turisticos S.A.,21.585.845/0001-66,
MMM Empreendimentos e Participacoes S.A.,09.474.872/0001-66,
Investpar Brasil - Investimentos e Participacoes S.A.,18.090.519/0001-73,
Coin Hills Consultoria e Empreendimentos S.A.,22.820.489/0001-80,
G-Maia Participacoes S.A.,21.617.142/0001-72,
WM Investimentos e Participacoes S.A.,10.685.404/0001-10,
Almapama Participacoes S.A.,17.252.516/0001-26,
Vocatus Participacoes S.A.,20.816.163/0001-54,
Capibaribe Participacoes S.A.,16.571.279/0001-01,
Noneto Imobiliaria S.A.,11.515.650/0001-96,
Perfect Participacoes S.A.,23.107.901/0001-82,
Uniphos Industria e Comercio de Produtos Quimicos Ltda.,13.558.726/0001-96,
Savys Empreendimentos e Participacoes S.A.,22.052.444/0001-03,
Miconia Empreendimentos Imobiliarios Ltda.,11.457.701/0001-70,
BR Mobilidade Baixada Santista S.A. - SPE,21.659.864/0001-90,
MPR Empreendimentos e Participacoes S.A.,03.214.219/0001-81,
BRK Ambiental - Ativos Maduros S.A.,21.398.265/0001-60,
Arteris Participacoes S.A.,23.801.083/0001-13,
TED Terras Participacoes S.A.,18.968.381/0001-62,
Tecnobank Tecnologia Bancaria S.A.,09.016.926/0001-40,
Multivida Participacoes S.A.,21.475.647/0001-40,
TIN-BR Participacoes S.A.,23.140.151/0001-40,
Gregorio de Nadai Administracao e Participacoes S.A.,57.049.512/0001-60,
Booking.com Brasil Servicos de Reserva de Hoteis Ltda.,10.625.931/0001-39,
Meffert Participacoes S.A.,20.927.812/0001-94,
Intelsat Brasil Ltda.,03.804.764/0001-28,
JLFTA Participacoes S.A.,18.642.826/0001-10,
Alianca Desenvolvimento e Comercio de Programas de Informatica S.A.,12.644.143/0001-15,
HBA S.A. Assistencia Medica e Hospitalar,05.469.172/0001-22,
Pacific RDSL Participacoes S.A.,21.728.500/0001-14,
USS Solucoes Gerenciadas S.A.,01.979.936/0001-79,
Oncoclinicas do Brasil Servicos Medicos S.A.,12.104.241/0004-02,
Companhia de Pesquisa de Recursos Minerais - CPRM,00.091.652/0001-89,
Fundacao do ABC,57.571.275/0001-00,
Sotran S.A. Logistica e Transporte,03.286.888/0001-69,
Graber Sistemas de Seguranca Ltda.,87.169.900/0001-45,
Sociedade Beneficente Sao Camilo,60.975.737/0001-51,
Servico Federal de Processamento de Dados - SERPRO,33.683.111/0001-07,
Veolia Water Technologies Brasil Ltda.,96.591.128/0001-46,
LGT Hub S.A.,26.173.550/0001-04,
Space Empreendimentos Imobiliarios Ltda.,23.503.890/0001-50,
Rede D'OR Sao Luiz Servicos Medicos Ltda.,14.017.359/0001-86,
Ericson Gestao e Servicos de Telecomunicacoes Ltda.,04.262.069/0001-44,
Chain Servicos e Contact Center S.A.,23.532.312/0001-41,
Uninter Educacional S.A.,02.261.854/0001-57,
Ardan Participacoes S.A.,16.749.597/0001-01,
Cosco Shipping Lines (Brasil) S.A.,02.502.234/0001-62,
BRK Ambiental Participacoes S.A.,24.396.489/0001-20,
BRK Ambiental - Participacoes em Negocios Industriais S.A.,25.249.316/0001-42,
Masan Servicos Especializados Ltda.,00.801.512/0001-57,
Instituto de Atencao Basica e Avancada a Saude,09.652.823/0001-76,
Milplan Participacoes S.A.,18.017.323/0001-53,
Oncoclinica Centro de Tratamento Oncologico S.A.,72.101.124/0001-74,
Acceptor Consultoria e Corretagem de Seguros Ltda.,05.235.714/0001-00,
ADP Brasil Ltda.,47.680.798/0001-23,
Grupo Avenida S.A.,09.532.889/0001-22,
Sanca GTIS Participacoes Ltda.,13.812.892/0001-77,
BRK Operacoes Industriais S.A.,24.396.481/0001-64,
Casa Bahia Comercial Ltda.,59.291.534/0001-67,
GTIS XXXI Brasil Participacoes Ltda.,13.735.830/0001-09,
IPS - Empreendimentos Imobiliarios S.A.,23.851.854/0001-87,
Amaggi Louis Dreyfus Zen-Noh Holdings S.A.,18.844.424/0001-06,
BBM Logistica S.A.,01.107.327/0001-20,
PBC Comunicacao Ltda.,73.090.482/0001-91,
Caterpillar Fomento Comercial Ltda.,05.393.573/0001-46,
Elma Servicos Gerais e Representacao Ltda.,59.058.487/0001-06,
Refinitiv Brasil Servicos Economicos Ltda.,29.508.686/0001-08,
Cultura Inglesa Idiomas S.A.,17.855.050/0001-53,
Quebec Apiacas Engenharia S.A.,19.449.814/0001-36,
KTM Administracao e Engenharia S.A.,26.279.935/0001-42,
Patrimar Engenharia Ltda.,23.236.821/0001-27,
Hospital Samaritano de Sao Paulo Ltda.,24.344.124/0001-52,
Soifer Participacoes Societarias S.A.,78.585.049/0001-40,
Auto Viacao Catarinense Ltda.,82.647.884/0001-35,
Meppel Participacoes S.A.,21.131.640/0001-00,
California Holding S.A.,23.895.091/0001-76,
Terravida Empreendimentos e Participacoes Ltda.,02.096.012/0001-97,
Sobam Centro Medico Hospitalar S.A.,50.739.135/0001-41,
Phoenix Tower Participacoes S.A. ,20.228.158/0001-20,
Empresa Gerencial de Projetos Navais,27.816.487/0001-31,
Acessopar Investimentos e Participacoes S.A.,20.430.599/0001-00,
Silvio Santos Participacoes S.A.,43.350.131/0001-01,
Steff Participacoes S.A.,23.700.409/0001-16,
EAP Holding S.A.,23.568.362/0001-89,
Veritas Educacional A Participacoes S.A. ,22.008.195/0001-59,
Telxius Torres Brasil Ltda.,23.842.855/0001-65,
Siltotal Holding S.A.,26.664.058/0001-23,
Unicoba Baterias Participacoes S.A,26.103.583/0001-70,
Concept Sorriso Participacoes S.A.,24.935.416/0001-60,
Conseg Participacoes S.A.,21.110.469/0001-53,
Takatsuma Servicos S.A.,10.241.659/0001-93,
Styrax Participacoes S.A.,20.220.482/0001-00,
Sonda do Brasil S.A.,64.641.327/0001-25,
Green Apple Participacoes S.A,20.220.488/0001-70,
GSFRP Participacoes S.A. e Controladas,25.176.501/0001-54,
Hesa 159 Investimentos Imobiliarios S.A,17.617.046/0001-57,
Barbaresco Participacoes S.A.,20.165.533/0001-30,
M.M. Incorporacoes S.A.,02.046.359/0001-25,
Buschle Participacoes e Empreendimentos S.A.,84.684.497/0001-02,
Goodman Brasil Logistica S.A.,21.804.967/0001-04,
White Sands Participacoes S.A. ,10.473.513/0001-73,
LS Holding  S.A.,19.730.016/0001-88,
Trescal Brasil Participacoes S.A.,23.218.565/0001-45,
Pollarix S.A.,04.755.710/0001-82,
Inter Construtora e Incorporadora S.A.,09.611.768/0001-76,
IRB Investimentos e Participacoes Imobiliarias S.A.,24.292.813/0001-60,
R.V.K Participacoes S.A.,20.202.021/0001-05,
NC Comunicacoes S.A.,79.227.963/0001-82,
Mandala Participacoes S.A.,21.503.742/0001-00,
CNSEG Participacoes S.A. - CNSPAR,22.457.742/0001-83,
Elquatrix Participacoes. Investimentos. Administracao de Bens e Imoveis S.A.,18.237.413/0001-50,
Negresco Administracao e Participacoes S.A.,81.093.106/0001-89,
Coruripe Holding S.A.,10.751.505/0001-41,
UCC Participacoes Societarias S.A.,08.440.417/0001-87,
Grupo Cerveja Participacoes S.A.,24.323.956/0001-92,
Complexo Hospitalar Uberlandia S.A.,17.087.591/0001-89,
Jubeva Participacoes S.A.,23.655.838/0001-19,
VRE Loteamento S.A..,25.186.838/0001-42,
HGM-2 Capital Management S.A.,17.448.206/0001-81,
AMG Participacoes S.A.,13.051.600/0001-20,
VRE D3 S.A.,17.901.699/0001-63,
Imira Administracao e Participacoes S.A.,24.968.657/0001-05,
Andorsi do Brasil S.A.,11.787.246/0001-71,
Paris Participacoes Societaria e Investimentos S.A.,14.892.890/0001-06,
